video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
pz95u3UVpaM,17.14.11,Camila Cabello - Havana (Vertical Video) ft. Young Thug,CamilaCabelloVEVO,10,2017-11-10T05:01:00.000Z,"camila cabello|""camila""|""young thug""|""havana""|""fifth harmony""|""5h""|""harmonizers""|""crying in the club""|""omg""|""i have questions""|""know no better""|""lauren jauregui""|""dinah jane""|""normandi kordei""|""ally brooke""|""lele""|""pons""|""lelepons""|""shawn mendes""|""LeLe Pons""|""LuJuan James""|""influencers""|""instagram influencer""|""lele instagram""|""latina influencer""|""lelepons dance videos""|""lele pons dance battle""|""Camila Cabello feat. Young Thug""|""Havana""|""Pop""|""Syco Music/Epic""",5476738,286269,4083,12254,FALSE,FALSE,FALSE
jp9hK-jY6yY,17.14.11,When Someone Has A Crush on You | Lilly Singh,IISuperwomanII,23,2017-11-09T22:21:13.000Z,"iisuperwomanii|""iisuperwomenii""|""superwoman""|""superwomen""|""super""|""comedy""|""comedian""|""brown""|""indian""|""desi""|""punjabi""|""hindi""|""when someone has a crush on you""|""crush""|""crush on you""|""when a crush""|""crush you""|""on you""|""someone on""|""when someone""|""llsuperwomanll""|""lilly singh""|""lily singh""|""lily sing""|""lilly sing""|""IIsuperwomanII""|""someone has""|""you crush""|""when you""|""lilly""|""singh""|""when someone likes you""|""when someone has a crush""|""that feeling when""|""someone likes you""|""someone has a crush on you""|""lilly singh crush""",3371669,202676,3394,20086,FALSE,FALSE,FALSE
gEHCXl4J9Qo,17.14.11,Taylor Swift - “New Year’s Day” Fan Performance,ABC Television Network,24,2017-11-10T02:32:15.000Z,"American Broadcasting Company|""ABC""|""ABC Network""|""Television""|""TV""|""what to watch""|""trailer""|""tv show""|""Television Program""|""Taylor Swift""|""New Year's Day""|""Performance""|""Reputation""",2237404,72593,1830,3501,FALSE,FALSE,FALSE
OWvCCu2t6Ts,17.14.11,SO Much To Tell You | 32 Weeks Pregnant | MOTHERHOOD,Sprinkleofglitter,26,2017-11-10T16:59:50.000Z,"sprinkleofglitter|""sprinkle of glitter""|""Louise Pentland""|""motherhood""|""british mum vlogger""|""uk mum vlogger""|""32 weeks pregnant""|""3rd trimester""|""coping with SPD""|""Choosing a home birth""|""home birth after trauma""|""home birth with high bmi""",238843,10028,248,650,FALSE,FALSE,FALSE
6p-QzY5bxJ0,17.14.11,The 'Stranger Things' Kids Were Nearly a Motown Super Group,The Late Late Show with James Corden,24,2017-11-09T06:45:55.000Z,"James Corden|""The Late Late Show""|""Colbert""|""late night""|""late night show""|""Stephen Colbert""|""Comedy""|""monologue""|""comedian""|""impressions""|""celebrities""|""carpool""|""karaoke""|""CBS""|""Late Late Show""|""Corden""|""joke""|""jokes""|""funny""|""funny video""|""funny videos""|""humor""|""celebrity""|""celeb""|""hollywood""|""famous""",5541767,263918,1502,10706,FALSE,FALSE,FALSE
fiusxyygqGk,17.14.11,Marshmello - You & Me (Official Music Video),marshmello,10,2017-11-10T15:00:03.000Z,"selena gomez wolves|""alone marshmello""|""marshmello - alone""|""marshmellow""|""you and me""|""marshmello music video""|""marshmello you and me""|""cooking with mello""|""silence""|""wolves""|""havana""|""nuevo musica""|""nueva canciones""|""khalid""|""selena""|""alan walker""|""marshmello AMV""|""Toon53""|""Marshmello cartoon""|""cartoon""|""animated""|""animated music video""|""toons""|""cartoons""|""rick and morty""|""pickle rick""|""rollercoasters""|""roblox""|""marshmello roblox""|""naruto""|""marshmello singing""|""musically""|""top new songs""",3407008,207262,3167,13279,FALSE,FALSE,FALSE
QOksZ8VogRw,17.14.11,Bastille - World Gone Mad (from Bright: The Album) [Official Music Video],Atlantic Records,10,2017-11-09T17:03:42.000Z,"music|""official""|""music video""|""Bright""|""Bright: The Album""|""Bright The Album""|""Bastille""|""World Gone Mad""|""Atlantic Records""|""will smith""|""orc""",626688,25115,499,1392,FALSE,FALSE,FALSE
lo5ERI5nPbM,17.14.11,Sharon Needles - Andy Warhol Is Dead [Official],Sharon Needles,10,2017-11-10T18:52:40.000Z,"Sharon Needles|""Andy Warhol Is Dead""|""Battle Axe""|""sharon""|""needles""|""andy""|""warhol""|""is""|""dead""|""battle""|""axe""|""drag""",74934,4577,292,440,FALSE,FALSE,FALSE
Ja_GMU7-sjs,17.14.11,Google Pixelbook: $1000 of Weird!,Marques Brownlee,28,2017-11-09T21:18:33.000Z,"Google Pixelbook|""Chromebook""|""Pixel""|""$1000""|""1000 dollar""|""1000""|""expensive chromebook""|""pixelbook review""|""pixelbook pen""|""chromebook pixel""|""chromebook""|""best chromebook""|""MKBHD""",1575525,52829,1524,5864,FALSE,FALSE,FALSE
_6ViZ13mN9I,17.14.11,GSP and Tyron Woodley Talk About Their Potential Super Fight | The Hollywood Beatdown,TMZSports,17,2017-11-10T21:52:31.000Z,"TMZ|""TMZ Sports""|""TMZ Sports Channel""|""TMZ 2017""|""TMZ Sports 2017""|""Celebrity""|""Sports""|""Athletes""|""TMZ News""|""Famous""|""Hall of Fame""|""Sports News""|""TMZ2016FS11221""|""The Hollywood Beatdown""|""Tyron Woodley""|""UFC Tyron Woodley""|""UFC Champion Tylor Woodley""|""GSP""|""George St Pierre""|""Michael Bispin""|""UFC Fight""|""Tyron Woodley GSP Fight""|""Tyron Woodley George St Pierre""|""Conor McGregor""|""UFC Conor Mcgregor""|""Roy Halladay""|""Celine Dion""|""Steve Aoki""|""Celine dion My heart will go on live""",86296,629,77,642,FALSE,FALSE,FALSE
F62QpaPWXDI,17.14.11,THE CHEAPEST & BEST EYESHADOWS?,Jamie Genevieve,22,2017-11-09T18:18:59.000Z,"jamie genevieve|""bblogger""|""youtuber""|""makeup""|""tutorial""|""how to""|""vlog""|""makeup tutorial""|""bleach london""|""louder powder""|""bleach london eyeshadows""|""cheapest eyeshadows""",110769,5029,81,305,FALSE,FALSE,FALSE
g5c1bk8weaQ,17.14.11,FIRST TIME IM DOING THIS! TALKS WITH LIZA.,Liza Koshy,23,2017-11-10T03:43:43.000Z,"liza|""lizza""|""lizzza""|""lizzzavine""|""lizzzak""|""lizzzako""|""koshy""|""lizakoshy""|""wednesdays""|""top picks topics""|""conversations""|""boob talk""|""period talk""|""girl talk""|""talking to you""|""liza q and a""|""liza topics""|""liza koshy""|""liza koshy too""|""liza koshy characters""|""tea with liza""|""boobs""|""boob size""|""breast milk""|""having kids""|""when im having kids""|""liza pregnant""|""liza david pregnant""|""liza david kids""|""naming kids""|""kids names""|""comedy""|""improv""|""sketch""|""series""",3578502,307435,2573,12248,FALSE,FALSE,FALSE
3qYt_fXdaXY,17.14.11,Sweetie destroys Flav (Sweetie vs. Flavor Flav),Foolmarkt,24,2016-08-06T12:25:20.000Z,"flavor of love|""fighting""|""sweetie""|""flavor flav""|""vh1""|""fight""|""reality tv""|""tiffany pollard""|""best fight""",28960,399,14,114,FALSE,FALSE,FALSE
Y5MqpKlKiSM,17.14.11,Decluttering My Life ✨,Gabriella Lindley,24,2017-11-10T15:42:33.000Z,"weekly vlog|""daily vlog""|""gabbie lindley""|""gabby lindley""|""gabriella lindley""|""gabriella""|""vlogtober""|""vlogmas""|""november vlogs""",106122,5364,153,284,FALSE,FALSE,FALSE
xg9ebVTL9yE,17.14.11,Empire Of The Sun - Way To Go,empireofthesunvevo,10,2017-11-10T05:00:06.000Z,"Empire|""Of""|""The""|""Sun""|""Way""|""To""|""Go""|""EMI""|""Alternative""|""eots""|""waay""|""too""|""goo""|""emipre of the sun""|""son""|""electronic""|""edm""|""australian""|""adm""|""aussie music. triplej""|""like a version""|""two leaves""|""flume""|""alison wonderland""|""cut copy""|""pnau""|""mgmt""|""hot chip""|""the presets""|""phoenix""|""hermitude""|""Nobumichi Asai""|""Ryo Kitabatake""",138988,7999,84,612,FALSE,FALSE,FALSE
J_QGZspO4gg,17.14.11,Sia - Snowman,SiaVEVO,10,2017-11-09T15:45:05.000Z,Sia Snowman Holiday,1624771,84426,1130,5981,FALSE,FALSE,FALSE
cUtYh_ZUjqc,17.14.11,You Know You’re British When… | The December Issue | British Vogue,British Vogue,24,2017-11-10T00:00:02.000Z,"Vogue|""Vogue Video""|""British Vogue""|""Vogue Magazine""|""Fashion""|""Style""|""British Style""|""British Fashion""|""British""|""Behind The Scenes""|""edward enninful""|""sadiq khan""|""millie bobby brown""|""naomi campbell""|""adwoa aboah""|""christopher bailey""|""victoria beckham""|""gwendoline christie""|""journdan dunn""|""edward enninful vogue""|""sadiq khan vogue""|""naomi campbell vogue""|""millie bobby brown vogue""|""adwoa aboah vogue""|""victoria beckham vogue""|""gwendoline christie vogue""|""jourdan dunn vogue""|""vogue december issue""",71231,1881,182,316,FALSE,FALSE,FALSE
E7ykb1geOoU,17.14.11,A Veteran speaks on Remembrance Day,Novara Media,25,2017-11-11T13:39:47.000Z,"media|""politics""|""current affairs""|""news""|""journalism""|""communism""|""socialism""|""anarchism""|""left""|""left wing""|""leftism""|""leftist""|""united kingdom""|""uk""|""britain""|""europe""|""crisis""|""finance""|""finances""",3308,240,16,42,FALSE,FALSE,FALSE
pHE8nIB6j2U,17.14.11,Chayanne - Choka Choka (Official Video) ft. Ozuna,chayanneVEVO,10,2017-11-10T14:00:04.000Z,"Chayanne ft. Ozuna|""Chayanne ft. Ozuna Music""|""Chayanne ft. Ozuna Official Video""|""Chayanne ft. Ozuna Video""|""Chayanne ft. Ozuna Video Oficial""|""Chayanne ft. Ozuna Nuevo Video""|""Chayanne ft. Ozuna New Video""|""Choka Choka Official Video""|""Official Video""|""Choka Choka Single""|""Single""|""Chayanne ft. Ozuna New Single""|""Chayanne ft. Ozuna Single""|""Chayanne ft. Ozuna Choka Choka""|""Chayanne feat. Ozuna""|""Choka Choka""|""Latin Pop""|""Sony Music Latin""",5331049,126078,10294,5903,FALSE,FALSE,FALSE
dwkNG9qeYIY,17.14.11,UK Bike Skills Autumn Ladder Riding,UK Bike Skills,22,2017-11-11T12:50:38.000Z,"mountain bike|""mtb""|""enduro""|""north shore""|""mountain bike coaching""|""riding""|""skinny""",2464,33,6,9,FALSE,FALSE,FALSE
z7VBtM7clT4,17.14.11,Justice League Movie Cast Reveal Funniest Moments Together | MTV Movies,MTV International,24,2017-11-09T15:05:03.000Z,"mtv|""uk""|""official""|""justice league""|""dc""|""dc comics""|""super man""|""superman""|""batman""|""bat man""|""wonder woman""|""wonderwoman""|""aquaman""|""aqua man""|""cyborg""|""flash""|""the flash""|""gal gadot""|""ben affleck""|""ezra miller""|""ray fisher""|""jason momoa""|""henry cavill""|""justice league funniest moments""|""behind the scenes""|""justice league behind the scenes""|""new justice league movie""|""movies 2017""",82639,1267,38,189,FALSE,FALSE,FALSE
7fm7mll2qvg,17.14.11,Sigrid - Strangers (Lyric Video),SigridVEVO,10,2017-11-10T00:00:00.000Z,"Sigrid|""Strangers""|""Island""|""Records""|""Pop""",91776,4604,46,357,FALSE,FALSE,FALSE
QFfEtKvXMAs,17.14.11,Niall Horan - Too Much To Ask (Acoustic),NiallHoranVEVO,10,2017-11-10T17:00:05.000Z,"Niall Horan|""Niall""|""Horan""|""Too Much To Ask""|""Too Much Too Ask""|""To Much To Ask""|""To Much Too Ask""|""TMTA""|""Too Much To Ask Acoustic""|""Too Much Too Ask Acoustic""|""To Much To Ask Acoustic""|""To Much Too Ask Acoustic""|""TMTA Acoustic""|""Acoustic""|""Acoustic Video""",419341,53572,168,3083,FALSE,FALSE,FALSE
6RyOsIseJbk,17.14.11,Reading #3,John Conforti,22,2017-11-05T20:43:48.000Z,"Rick Astley|""Never Gonna Give You Up""|""funny wedding""|""funny wedding reading""|""wedding reading""|""funny reading""",422874,4935,177,202,FALSE,FALSE,FALSE
qEEtzzi1EII,17.14.11,Birthdays - Simon's Cat | GUIDE TO,Simon's Cat,15,2017-11-09T13:34:58.000Z,"cartoon|""simons cat""|""simon's cat""|""simonscat""|""simon tofield""|""simon the cat""|""funny cats""|""cute cats""|""cat fails""|""family friendly""|""animated animals""|""animated cats""|""tofield""|""simon's katze""|""simon""|""cat""|""black and white""|""kitty""|""black and white cat""|""Кот Саймона""|""cat lovers""|""animal (film character)""|""fail""|""funny cat""|""cats""|""cute""|""kitten""|""kittens""|""pets""|""simons cats""|""Cat""|""Simon""|""Tofield""|""cartoons""|""Toons""|""Animated""|""Animation""|""Kitten""|""Funny""|""Humour""|""videos""|""Guide to Birthdays""|""Birthdays Simon's Cat""|""Cat Birthday""",426078,19323,245,945,FALSE,FALSE,FALSE
rL4WkebTT_U,17.14.11,Where is TOKYO'S GREATEST View?,Abroad in Japan,24,2017-11-09T15:06:34.000Z,"tokyo|""japan""|""skytree""|""metropolitan""|""tower""|""japanese""|""observation""|""odaiba""",151709,9210,71,1103,FALSE,FALSE,FALSE
8l_e6bx8UG8,17.14.11,Remy Ma - Wake Me Up (Audio) ft. Lil' Kim,RemyMaVEVO,10,2017-11-08T17:00:00.000Z,"Columbia|""Hip Hop""|""Remy Ma feat. Lil' Kim""|""Wake Me Up""",1231518,32648,6221,9288,FALSE,FALSE,FALSE
N8U2EPiEbZo,17.14.11,A PRE WEDDING PAMPER | Lydia Elise Millen,Lydia Elise Millen,22,2017-11-09T21:18:34.000Z,"ASOS HAUL|""HAUL""|""LUXURY HAUL""|""DESIGNER HAUL""|""ASOS""|""NET A PORTER HAUL""|""HIGH END HAUL""|""LUXURY""|""FASHION""|""SHOE COLLECTION""|""HANDBAG COLLECTION""|""LYDIA ELISE MILLEN""|""ALI GORDON""|""WEDDING PLANNING""|""GETTING MARRIED""|""BRIDE TO BE""|""WEDDING PREP""|""INSTAGRAM COUPLE""|""COME TO THE SPA WITH ME""|""SPA TRIP""|""VLOGGER""|""VLOGMAS""|""VLOGMAS 2017""|""VLOGMAS 2016""|""DAILY VLOGGER""|""LIFESTYLE VLOG""|""COSEY VLOG""",181351,3946,295,335,FALSE,FALSE,FALSE
iNsTzqwwioY,17.14.11,How Accurate Are Personality Tests and Horoscopes?,Life Noggin,27,2017-11-09T14:00:03.000Z,"life noggin|""life noggin youtube""|""youtube life noggin""|""life noggin channel""|""education""|""education channel""|""life noggin face reveal""|""edutainment""|""edutainment videos""|""blocko""|""blocko life noggin""|""science""|""technology""|""educational""|""school""|""personality test""|""introvert vs extrovert""|""type a personality""|""type b personality""|""Myers-Briggs Type Indicator""|""Myers Briggs Test""|""MBTI""|""zodiac sign""|""horoscope""|""Barnum Effect""|""introvert""|""extrovert""|""type a vs type b personality""|""C.G. Jung""|""psychology""",269950,11107,212,1580,FALSE,FALSE,FALSE
9GqL1DSQDL0,17.14.11,GET READY WITH ME + LILY! (we're so immature bye),makeupbymichaelfinch,26,2017-11-09T22:00:00.000Z,"Lily brown|""michael finch""|""makeupbymichaelfinch""|""candlestuck""|""makeup by michael finch""|""get ready with me lily brown""|""bindi""",332967,22303,700,1523,FALSE,FALSE,FALSE
OGKchfcd-5w,17.14.11,Big Krit Freestyle With The L.A. Leakers - Freestyle #030,Power 106 Los Angeles,10,2017-11-11T03:53:25.000Z,"power 106 hip hop interviews performance rap los angeles celebrity news|""Hip Hop""|""Hip-Hop""|""West Coast""|""Rap""|""Music""",76940,3872,16,558,FALSE,FALSE,FALSE
44NYFvhXmW8,17.14.11,Thirty Seconds To Mars - Walk On Water (Official Music Video),ThirtySecondsToMarsVEVO,10,2017-11-08T13:00:00.000Z,"Thirty|""Seconds""|""To""|""Mars""|""Walk""|""On""|""Water""|""to""|""Mars/Interscope""|""Records""|""Alternative""|""Thirty Seconds To Mars""|""Thirty Seconds to Mars Ellen""|""30 seconds to mars ellen""|""mars ellen""|""ellen""|""Walk On Water""|""Thirty Seconds to Mars""|""30 seconds to mars walk on water""|""thirty seconds to mars walk on water""|""mars""|""mars walk on water""|""walk on water vid""|""30 sec to mars""|""30 secs to mars walk on water""|""walk on water video""|""official video""|""vid""",1905487,65854,2442,4490,FALSE,FALSE,FALSE
RYs08kX3Ih4,17.14.11,SECRETS REVEALED! HOW I LAY MY LACE WIGS! | AALIYAHJAY,MsAaliyahJay,26,2017-11-10T01:30:00.000Z,11/08/17,219030,14303,398,1099,FALSE,FALSE,FALSE
nnrkPRApQg8,17.14.11,KUWTK | Khloe Tries to Help Kourtney & Scott Hash Out Their Drama | E!,E! Entertainment,24,2017-11-09T14:30:53.000Z,"Real Time|""Kim Kardashian""|""Kourtney Kardashian""|""Kanye West""|""Scott Disick""|""Keeping Up with the Kardashians""|""Kardashians""|""Kardashian""|""KUWTK""|""family""|""Kendall Jenner""|""Kylie Jenner""|""New Season""|""E! Entertainment Schedule""|""Celebrity""|""Celeb Gossip""|""Celeb News""|""E! News""|""E! News Now""|""Chelsea Handler""|""The Soup""|""Celebrity News""|""Celebrity Pictures""|""Gossip""|""Giuliana Rancic""|""Chelsea Lately""|""Comedians""|""Comedy""",613492,5376,202,460,FALSE,FALSE,FALSE
eHIY3HNNqzM,17.14.11,The Script - Arms Open (Acoustic) [Audio],TheScriptVEVO,10,2017-11-10T08:00:03.000Z,"the script|""the script new single""|""the script arms open""|""the script arms open acoustic""|""the script arms open acoustic version""|""rain""|""hall of fame""|""breakeven""|""superheroes""|""rain lyrics""|""for the first time""|""the man who can't be moved""|""if you could see me now""|""Arms Open (Acoustic)""|""Columbia""|""Pop""|""The Script""",135337,7158,89,318,FALSE,FALSE,FALSE
gSW2l1z1lKw,17.14.11,THIS WASN'T SUPPOSED TO HAPPEN!! DIY FIREWORKS SHOW,SACCONEJOLYs,22,2017-11-09T18:00:02.000Z,"family|""mom""|""mommy""|""baby""|""children""|""kids""|""mother""|""father""|""dad""|""son""|""daughter""|""home""|""young family""|""sacconejolys""|""video dairy""|""real life""|""reality tv""|""london""|""jonathan""|""joly""|""anna""|""saccone""",113988,6016,231,356,FALSE,FALSE,FALSE
9wg3v-01yKQ,17.14.11,Harry Styles - Kiwi,HarryStylesVEVO,10,2017-11-08T13:00:01.000Z,"Columbia|""Harry Styles""|""Kiwi""|""Pop""",9632678,810895,16139,59482,FALSE,FALSE,FALSE
nrXlY6gzTTM,17.14.11,The Post | Official Trailer [HD] | 20th Century FOX,20th Century Fox,1,2017-11-08T05:31:00.000Z,"Trailer|""Steven Spielberg""|""ThePost""|""Meryl Streep""|""Tom Hanks""|""Alison Brie""|""Carrie Coon""|""David Cross""|""Bruce Greenwood""|""Tracy Letts""|""Bob Odenkirk""|""Sarah Paulson""|""Jesse Plemons""|""Matthew Rhys""|""Michael Stuhlbarg""|""Bradley Whitford""|""Zach Woods""|""Liz Hannah""|""Josh Singer""|""Spotlight""|""Spielberg""|""Spielberg Movie""|""Official Trailer""|""The Post""|""Nixon""|""Vietnam""|""60's""|""60's movie""|""historical drama""|""spotlight""",2794165,8874,939,1439,FALSE,FALSE,FALSE
EYkEshCOhEU,17.14.11,The Ultimate Red Lip Look | Nicole Guerriero,Nicole Guerriero,22,2017-11-10T00:24:29.000Z,"nicole guerriero|""arriba liqud lipstick""|""colourpop cosmetics""|""classic glam""|""makeup tutorial""|""holiday glam""|""red lip makeup tutorial""|""how to wear a red lip""|""beauty vlogger""|""beauty guru""|""iluvsarahii""|""long lasting red lip""|""bulletproof makeup""|""long lasting makeup""",294387,15247,385,976,FALSE,FALSE,FALSE
P4ohTV_28Oc,17.14.11,Taylor Swift Saturday Night Live Behind The Scenes,Tu Fan,24,2017-11-10T19:43:21.000Z,"Taylor swift|""snl""|""funny Taylor""|""saturday night life""|""teens""|""style""",53985,915,12,60,FALSE,FALSE,FALSE
q-WipZ9p0wk,17.14.11,Three meals that cost me $1.50 each,Brothers Green Eats,26,2017-11-09T14:00:08.000Z,"brothers green eats|""budget cooking""|""cooking for the price of coffee""|""banana pancakes""|""falafel""|""cabbage rolls""|""steamed cabbage rolls""|""homemade almond milk""|""oat flour""|""homemade""|""recipe""|""cooking""|""simple cooking""|""simple recipes""|""budget cooking recipes""|""budget recipes""|""apple compote""|""apple jam""|""pear compote""",77630,1991,83,208,FALSE,FALSE,FALSE
